월간순위,곡명,가수명,가온지수
1,"인기 (Feat. 송가인, 챈슬러)",MC몽,"172,250,280"
2,새 사랑,송하예,"162,137,015"
3,불티,태연,"153,745,007"
4,있어줘요,장덕철,"132,116,003"
5,허전해,폴킴,"116,668,716"
6,떨어지는 낙엽까지도,헤이즈,"114,083,768"
7,샤넬 (Feat. 박봄),MC몽,"113,446,025"
8,우리 어떻게 할까요,첸,"80,443,816"
9,내 생애 가장 행복한 시간 Part.2 (Feat. 양다일),MC몽,"67,952,360"
10,LION,(여자)아이들,"59,476,266"
11,이별은 늘 그렇게 (Duet. 정은지),허각,"55,392,903"
12,영화 속에 나오는 주인공처럼,펀치,"48,420,098"
13,만추 (Feat. Crush),헤이즈,"45,969,188"
14,Gravity,태연,"45,625,854"
15,이별행동,이우,"44,203,241"
16,호랑이소굴 (Feat. 재키와이),기리보이,"36,907,244"
17,LOVE ME,뉴이스트,"36,017,193"
18,Here I Am,태연,"35,433,635"
19,우린 결국 다시 만날 운명이었지,마마무,"35,159,921"
20,온도 (Feat. 수란),MC몽,"34,277,622"
21,널 안지 않을 수 있어야지,첸,"33,798,765"
22,정말 헤어지는 거야 (With 죠지),린,"30,210,563"
23,원더우먼,브라운 아이드 걸스,"28,071,267"
24,헤어질 자신 있니 (Narr. 박선영 아나운서),"앤씨아, 박혜원","26,778,312"
25,무인도 (Feat. 문),MC몽,"26,391,950"
26,전화를 할까봐,오반,"25,449,077"
27,혼코노,하은,"24,534,759"
28,게릴라,오마이걸,"22,359,979"
29,SOSO,위너,"21,624,107"
30,Make It Right (Feat. Lauv),방탄소년단,"21,006,349"
