월간순위,곡명,가수명,가온지수
1,다시 여기 바닷가,싹쓰리,"233,082,573"
2,Summer Hate (Feat. 비),지코,"152,543,723"
3,그 여름을 틀어줘,싹쓰리,"140,676,198"
4,여름 안에서 (Feat. 황광희),싹쓰리,"131,472,882"
5,홀로,이하이,"101,361,357"
6,눈누난나,제시,"101,203,302"
7,Monster,레드벨벳-아이린&슬기,"73,201,130"
8,PLAY (Feat. 창모),청하,"68,601,039"
9,취기를 빌려 (취향저격 그녀 X 산들),산들,"51,738,301"
10,아직 너의 시간에 살아,이수현,"39,000,113"
11,What You Waiting For,전소미,"36,686,872"
12,첫 줄,신용재,"36,016,332"
13,거짓말이라도 해서 널 보고싶어,백지영,"35,265,986"
14,OHIO,크러쉬,"32,764,346"
15,10억뷰 (Feat. 문),세훈&찬열,"28,650,795"
16,오늘따라 비가 와서 그런가 봐,솔지,"28,477,913"
17,Error (Feat. Loopy),애쉬 아일랜드,"27,094,913"
18,Apple,여자친구,"26,536,035"
19,별이 온다,신용재,"21,569,212"
20,불 좀 꺼줄래,"오반, 주식","19,093,179"
21,Now or Never,에이프릴,"13,747,623"
22,공중정원,백현,"12,316,796"
23,나도 모르는 노래,김필,"10,984,720"
24,My Tale,박원,"9,633,404"
25,바다,코요태,"9,047,890"
26,Nobody`s Love,Maroon 5,"8,539,906"
27,집돌이,폴킴,"8,495,343"
28,오늘 술 한잔해요,지아,"7,563,561"
29,i`M THE TREND,(여자)아이들,"7,094,452"
30,AWay,정은지,"6,538,371"
31,Dreaming,규현,"6,520,543"
32,척 (Feat. 10CM),세훈&찬열,"5,854,544"
33,웬수 (Feat. 비비),지코,"5,603,486"
34,"Waves (Feat. 사이먼 도미닉, 제이미)",강다니엘,"4,385,289"
35,너라서 고마워,치즈,"4,214,054"
36,Lonely Night,윤두준,"3,840,340"
37,이별까지는 생각 못 했어,이우,"3,428,069"
38,전 여친,가비엔제이,"3,258,013"
39,여름 향기가 날 춤추게 해,SF9,"3,235,319"
40,로데오역,세훈&찬열,"3,084,194"
41,똑똑,케이시,"3,048,162"
42,Say It (Feat. 페노메코),세훈&찬열,"2,944,893"
43,날개 (Feat. 개코),세훈&찬열,"2,801,024"
44,만화영화,지코,"2,725,323"
45,시차적응,세훈&찬열,"2,701,602"
46,척 (Feat. 10CM),세훈&찬열,"2,662,545"
47,GOTTA GO,소유,"2,622,431"
48,On Me,세훈&찬열,"2,520,292"
49,Nothin’,세훈&찬열,"2,448,110"
50,To Be Young (Feat. Doja Cat),Anne-Marie,"2,447,015"
