월간순위,곡명,가수명,가온지수
1,Love poem,아이유,"235,840,241"
2,Blueming,아이유,"227,535,685"
3,늦은 밤 너의 집 앞 골목길에서,노을,"204,972,016"
4,HIP,마마무,"152,892,185"
5,이 번호로 전화해줘,바이브,"141,560,662"
6,Into the Unknown,"Idina Menzel, AURORA","119,431,123"
7,시간의 바깥,아이유,"114,924,636"
8,METEOR,창모,"104,211,522"
9,unlucky,아이유,"91,470,223"
10,Obsession,엑소,"82,930,479"
11,그 사람,아이유,"74,139,757"
12,Show Yourself,"Idina Menzel, Evan Rachel Wood","71,283,986"
13,자장가,아이유,"67,924,767"
14,이별주,황인욱,"67,051,704"
15,5월의 밤,자이언티,"65,940,499"
16,차가워진 이 바람엔 우리가 써있어,박혜원,"60,022,319"
17,숨겨진 세상,태연,"50,841,237"
18,날 보러 와요,에이오에이,"43,830,968"
19,FLOWER SHOWER,현아,"41,774,686"
20,축제,멜로망스,"37,248,169"
21,운명이 내게 말해요,헤이즈,"36,497,068"
22,Trouble,엑소,"31,104,053"
23,남겨짐에 대해 (Feat. 다운),지코,"30,921,787"
24,Some Things Never Change,"Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff, Cast of Frozen 2","29,677,687"
25,을 (Feat. 서동현),기리보이,"28,548,480"
26,춤,엑소,"27,548,248"
27,나비효과,엑소,"26,355,881"
28,맵고짜고단거 (Feat. 페노메코),다이나믹 듀오,"26,104,083"
29,지킬,엑소,"25,681,894"
30,All Is Found,Evan Rachel Wood,"25,396,869"
