연간순위,곡명,가수명,가온지수
1,아무노래,지코,"991,666,765"
2,METEOR,창모,"921,668,553"
3,아로하,조정석,"869,020,633"
4,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,"856,097,518"
5,Blueming,아이유,"837,816,609"
6,에잇 (Prod.&Feat. SUGA of BTS),아이유,"822,232,614"
7,늦은 밤 너의 집 앞 골목길에서,노을,"733,186,235"
8,Psycho,레드벨벳,"694,355,831"
9,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",악뮤,"694,340,833"
10,시작,가호,"692,443,143"
11,Dynamite,방탄소년단,"684,373,483"
12,작은 것들을 위한 시 (Feat. Halsey),방탄소년단,"635,104,713"
13,살짝 설렜어,오마이걸,"611,767,193"
14,2002,Anne-Marie,"592,202,196"
15,마음을 드려요,아이유,"589,631,449"
16,How You Like That,블랙핑크,"586,807,970"
17,"모든 날, 모든 순간",폴킴,"576,779,717"
18,마리아,화사,"571,311,893"
19,처음처럼,엠씨더맥스,"570,585,126"
20,Dolphin,오마이걸,"565,915,251"
21,Love poem,아이유,"562,650,099"
22,ON,방탄소년단,"562,551,487"
23,Memories,Maroon 5,"552,400,717"
24,오늘도 빛나는 너에게 (Feat. 이라온),마크툽,"551,349,104"
25,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)","543,308,741"
26,어떻게 지내,오반,"524,114,154"
27,Downtown Baby,블루,"515,943,130"
28,HIP,마마무,"509,529,057"
29,Dance Monkey,Tones And I,"506,773,842"
30,사랑하게 될 줄 알았어,전미도,"496,568,962"
31,안녕,폴킴,"493,620,623"
32,취기를 빌려 (취향저격 그녀 X 산들),산들,"486,749,212"
33,Don`t Start Now,Dua Lipa,"483,622,087"
34,좋은 사람 있으면 소개시켜줘,조이,"469,804,227"
35,그때 그 아인,김필,"467,284,193"
36,Paris In The Rain,Lauv,"434,688,415"
37,bad guy,Billie Eilish,"420,711,906"
38,너를 만나,폴킴,"415,282,903"
39,우리 왜 헤어져야 해,신예영,"414,314,729"
40,Summer Hate (Feat. 비),지코,"405,168,312"
41,Square (2017),백예린,"402,122,833"
42,나비와 고양이 (Feat. 백현),볼빨간사춘기,"400,581,771"
43,돌덩이,하현우,"399,075,989"
44,시든 꽃에 물을 주듯,박혜원,"398,890,448"
45,봄날,방탄소년단,"393,315,046"
46,Black Swan,방탄소년단,"392,362,267"
47,사랑이란 멜로는 없어,전상근,"392,018,810"
48,눈누난나,제시,"391,162,812"
49,이제 나만 믿어요,임영웅,"389,751,321"
50,FIESTA,아이즈원,"385,711,571"
