월간순위,곡명,가수명,가온지수
1,Dynamite,방탄소년단,"211,655,922"
2,When We Disco (Duet with 선미),박진영,"93,876,296"
3,신난다 (Feat. 마마무),비룡,"86,861,441"
4,LINDA (Feat. 윤미래),린다G,"86,827,870"
5,덤디덤디,(여자)아이들,"78,216,225"
6,Not Shy,있지,"77,986,160"
7,Ice Cream (with Selena Gomez),블랙핑크,"72,519,411"
8,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현,"72,327,870"
9,아틀란티스 소녀,볼빨간사춘기,"40,560,783"
10,두리쥬와 (Feat. S.B.N),유두래곤,"38,620,828"
11,나가,"먼데이 키즈, 이예준","24,745,964"
12,다시 여기 바닷가 (Acoustic Ver.),이상순,"22,570,550"
13,깨워,강다니엘,"22,339,244"
14,듣고 싶던 말,허각,"19,575,174"
15,OCEAN VIEW (Feat.찬열),로시,"14,533,506"
16,STAY THE NIGHT (Feat. DeVita),그레이,"13,628,636"
17,오래된 노래,임영웅,"13,406,205"
18,파도가 끝나는 곳까지,데이식스,"11,643,525"
19,아하,코요태,"10,554,080"
20,Milky Way,레드벨벳,"8,565,749"
21,안녕 못 해,김재환,"7,169,395"
22,Cool한 42 (with. 박문치 유니버스),박문치,"6,352,678"
23,2 KIDS,태민,"5,869,816"
24,Sacrifice,한승우,"4,872,969"
25,스쿰빗스위밍,온앤오프,"4,452,654"
26,Whale,세정,"3,702,457"
27,숨겨진 내 모습,이수현,"2,520,609"
28,WAP (Feat. Megan Thee Stallion),Cardi B,"2,512,474"
29,Dynamite (Acoustic Remix),방탄소년단,"2,196,531"
30,THE BADDEST,"(여자)아이들, Wolftyla, Bea Miller, K/DA","2,167,545"
