월간순위,곡명,가수명,가온지수
1,살짝 설렜어,오마이걸,"141,677,247"
2,덤더럼,에이핑크,"117,683,992"
3,우리 만남이,폴킴,"84,319,095"
4,Stay Tonight,청하,"60,707,533"
5,이제 나만 믿어요,임영웅,"58,694,911"
6,Dolphin,오마이걸,"57,859,149"
7,Oh my god,(여자)아이들,"51,989,890"
8,그대 고운 내사랑,어반 자카파,"45,600,853"
9,Ridin`,엔씨티 드림,"42,653,074"
10,LALALILALA,에이프릴,"39,255,868"
11,화려하지 않은 고백,규현,"35,033,724"
12,Remember,위너,"31,588,273"
13,시청 앞 지하철 역에서,곽진언,"31,037,737"
14,봄 같던 그녀가 춥대 (Feat. 페노메코),"엠씨몽, 김재환","28,864,999"
15,너를 그린 우주 (Feat. 이라온),마크툽,"28,692,400"
16,나쁜 놈,벤,"28,414,576"
17,넌 내가 보고 싶지 않나 봐,신예영,"27,751,535"
18,나보다 더 사랑해요,김호중,"24,856,598"
19,뱉어,솔라,"19,789,418"
20,넌 언제나,제이레빗,"19,145,089"
21,그대만이,장덕철,"17,546,534"
22,이해,양다일,"14,635,100"
23,내게 말해줘,엔씨티 드림,"13,148,099"
24,이 마음이 찾아오면,케이시,"11,944,027"
25,사랑은 또다시,엔씨티 드림,"11,849,455"
26,뭔가 잘못됐어,권진아,"11,812,997"
27,너의 자리,엔씨티 드림,"11,505,811"
28,펭수로 하겠습니다,"펭수, 타이거JK, 비지, 비비","11,163,494"
29,Quiet Down,엔씨티 드림,"10,026,298"
30,보통 같으면,한동근,"10,016,893"
