월간순위,곡명,가수명,가온지수
1,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",악뮤,"265,690,959"
2,워커홀릭,볼빨간사춘기,"197,002,695"
3,조금 취했어 (Prod. 이수),임재현,"158,026,851"
4,가을밤 떠난 너,케이시,"146,536,040"
5,헤어지자 (Prod. 정키),휘인,"139,966,468"
6,가끔 이러다,펀치,"116,601,044"
7,Feel Special,트와이스,"113,065,001"
8,사랑이란 멜로는 없어,전상근,"89,495,930"
9,달,악뮤,"78,644,015"
10,"천둥벌거숭이 (Feat. 재키와이, 염따)",지코,"70,253,978"
11,사람,지코,"58,718,572"
12,다시 만날까 봐,V.O.S,"58,383,231"
13,XX,볼빨간사춘기,"57,497,571"
14,FREEDOM,악뮤,"56,946,959"
15,25,볼빨간사춘기,"54,991,465"
16,물 만난 물고기,악뮤,"54,460,834"
17,뱃노래,악뮤,"54,285,155"
18,밤 끝없는 밤,악뮤,"52,973,124"
19,나만 아픈 일,이해리,"50,076,876"
20,고래,악뮤,"41,547,811"
21,작별인사,악뮤,"38,674,086"
22,시간을 갖자,악뮤,"38,536,495"
23,더 사랑해줄걸,악뮤,"38,034,111"
24,Taste,볼빨간사춘기,"36,276,590"
25,"그대의 밤, 나의 아침",브라운 아이드 소울,"32,417,318"
26,낮,볼빨간사춘기,"31,787,877"
27,Destiny,오마이걸,"29,359,624"
28,트루먼 쇼,"윤비, 영비","25,573,200"
29,독 _ Fear,세븐틴,"25,235,067"
30,문제 (Feat. 쿠기),서동현,"23,084,011"
