연간순위,곡명,가수명,가온지수
1,사랑을 했다,아이콘,"1,228,932,798"
2,그날처럼,장덕철,"1,139,301,500"
3,"모든 날, 모든 순간",폴킴,"997,593,299"
4,뚜두뚜두,블랙핑크,"935,973,576"
5,지나오다,닐로,"930,993,393"
6,뿜뿜,모모랜드,"918,051,821"
7,선물,멜로망스,"916,967,806"
8,Way Back Home,숀,"866,392,998"
9,그때 헤어지면 돼,로이킴,"866,385,813"
10,Havana (Feat. Young Thug),Camila Cabello,"858,094,365"
11,여행,볼빨간사춘기,"855,473,399"
12,You,멜로망스,"836,900,399"
13,별이 빛나는 밤,마마무,"772,091,636"
14,HandClap,Fitz & The Tantrums,"771,206,542"
15,주지마,"로꼬, 화사","760,202,642"
16,Roller Coaster,청하,"737,574,596"
17,Dance The Night Away,트와이스,"675,789,818"
18,FAKE LOVE,방탄소년단,"675,653,005"
19,밤편지,아이유,"668,930,083"
20,DNA,방탄소년단,"661,007,664"
21,My Way,이수,"644,600,959"
22,가을 안부,먼데이키즈,"639,421,981"
23,꽃 길,빅뱅,"637,384,472"
24,Shape of You,Ed Sheeran,"629,983,361"
25,열애중,벤,"621,662,819"
26,미안해,양다일,"605,360,919"
27,봄날,방탄소년단,"601,207,464"
28,Forever Young,블랙핑크,"597,208,007"
29,What is Love?,트와이스,"583,997,409"
30,그리워하다,비투비,"567,955,683"
31,Bad boy,레드벨벳,"563,992,963"
32,instagram,딘,"549,111,854"
33,비행운,문문,"544,174,389"
34,밤이 되니까,펀치,"539,547,081"
35,밤,여자친구,"537,255,803"
36,이 별,길구봉구,"531,073,938"
37,소나기 (Feat. 10cm),용준형,"526,775,914"
38,하루도 그대를 사랑하지 않은 적이 없었다,임창정,"523,329,797"
39,좋니,윤종신,"510,599,363"
40,삐삐,아이유,"505,696,795"
41,너나 해,마마무,"496,224,475"
42,너 없인 안 된다,비투비,"487,298,504"
43,Heart Shaker,트와이스,"483,100,593"
44,1도 없어,에이핑크,"479,235,028"
45,에너제틱,워너원,"477,845,026"
46,비도 오고 그래서 (Feat. 신용재),헤이즈,"473,069,878"
47,붕붕 (Feat. Sik-K) (Prod. GroovyRoom),김하온,"470,272,897"
48,가을 타나봐,바이브,"459,000,451"
49,Power Up,레드벨벳,"456,652,289"
50,동화,멜로망스,"456,082,743"
