월간순위,곡명,가수명,가온지수
1,How You Like That,블랙핑크,"185,726,476"
2,마리아,화사,"154,833,503"
3,More & More,트와이스,"117,838,646"
4,보라빛 밤,선미,"113,378,911"
5,Into the I-LAND,아이유,"105,353,987"
6,깡 Official Remix,"식케이, pH-1, 박재범, 김하온","97,559,781"
7,환상동화,아이즈원,"71,340,075"
8,Left & Right,세븐틴,"58,296,184"
9,어떻게 지내(답가),런치,"37,948,452"
10,사랑은 지날수록 더욱 선명하게 남아,전상근,"31,864,140"
11,언제라도 어디에서라도,정승환,"31,557,029"
12,작사가,헤이즈,"28,902,341"
13,할무니,김호중,"26,929,555"
14,썸 타긴 뭘 타,백아연,"22,106,106"
15,My My,세븐틴,"21,604,781"
16,You're cold,헤이즈,"19,789,735"
17,안녕과 안녕으로,이예준,"19,230,654"
18,숨,샘김,"18,008,195"
19,다른 누구 말고 너야,김나영 ,"16,219,046"
20,일이 너무 잘 돼,헤이즈,"15,149,537"
21,안부 (Feat. 찬열),이선희,"14,748,409"
22,Get Ready,하성운,"13,407,340"
23,좋겠다,헤이즈,"13,087,205"
24,비가 내린다,닐로,"12,799,455"
25,어른 아이 ,세븐틴,"12,238,244"
26,같이 가요,세븐틴,"11,052,122"
27,좋아한다니까,염따,"8,877,202"
28,회전목마,아이즈원 ,"8,022,561"
29,너의 이름은 (Feat. 애쉬 아일랜드),헤이즈,"7,472,094"
30,Fearless,세븐틴,"7,330,421"
